#
# A fatal error has been detected by the Java Runtime Environment:
#
#  EXCEPTION_ACCESS_VIOLATION (0xc0000005) at pc=0x5a5a65f5, pid=4652, tid=5548
#
# JRE version: 6.0_17-b04
# Java VM: Java HotSpot(TM) Client VM (14.3-b01 mixed mode windows-x86 )
# Problematic frame:
# C  0x5a5a65f5
#
# If you would like to submit a bug report, please visit:
#   http://java.sun.com/webapps/bugreport/crash.jsp
# The crash happened outside the Java Virtual Machine in native code.
# See problematic frame for where to report the bug.
#

---------------  T H R E A D  ---------------

Current thread (0x0be8b400):  JavaThread "main" [_thread_in_native, id=5548, stack(0x00e00000,0x01600000)]

siginfo: ExceptionCode=0xc0000005, writing address 0x00000000

Registers:
EAX=0x5a5a65f3, EBX=0x015f59ac, ECX=0x00000000, EDX=0x00000000
ESP=0x015f56d8, EBP=0x015f5df4, ESI=0x5a96b9f8, EDI=0x015f5de8
EIP=0x5a5a65f5, EFLAGS=0x00010246

Top of Stack: (sp=0x015f56d8)
0x015f56d8:   07f1d637 015f5de8 5a96b9f8 015f56f4
0x015f56e8:   015f5de8 015f59ac 015f5df4 015f5720
0x015f56f8:   07f1e892 5a5a65f3 015f5de8 00000100
0x015f5708:   015f578c 07f1ea80 f28d24e1 5a96b9d4
0x015f5718:   015f5de8 00000001 015f579c 07f13708
0x015f5728:   015f5de8 5a96b9d4 5a5a65f3 00000000
0x015f5738:   00000100 f28d2475 015f5de8 5a96b9f8
0x015f5748:   015f59ac 015f5d8c 00000000 00000001 

Instructions: (pc=0x5a5a65f5)
0x5a5a65e5:   c3 8b 0e 89 0f 8b 01 ff 10 e9 c1 fc e9 ff 33 c9
0x5a5a65f5:   c7 05 00 00 00 00 01 00 00 00 cd 29 33 c0 83 f9 


Stack: [0x00e00000,0x01600000],  sp=0x015f56d8,  free space=8149k
Native frames: (J=compiled Java code, j=interpreted, Vv=VM code, C=native code)
C  0x5a5a65f5
C  0x5a445910
C  0x5a4454aa
C  0x59ea9935
C  0x57c4d25f
C  0x57c4d233
C  0x57c4d17b
C  0x59b42071
C  0x59b41fa1
C  0x67af402e
C  0x67af3689
C  0x67709782
C  0x6770bc24
C  0x67703141
C  0x6d374df2
j  sun.jdbc.odbc.JdbcOdbc.driverConnect(J[B[B)V+0
j  sun.jdbc.odbc.JdbcOdbc.SQLDriverConnect(JLjava/lang/String;)V+93
j  sun.jdbc.odbc.JdbcOdbcConnection.initialize(Ljava/lang/String;Ljava/util/Properties;I)V+984
j  sun.jdbc.odbc.JdbcOdbcDriver.connect(Ljava/lang/String;Ljava/util/Properties;)Ljava/sql/Connection;+129
j  java.sql.DriverManager.getConnection(Ljava/lang/String;Ljava/util/Properties;Ljava/lang/ClassLoader;)Ljava/sql/Connection;+210
j  java.sql.DriverManager.getConnection(Ljava/lang/String;Ljava/util/Properties;)Ljava/sql/Connection;+7
j  com.mathworks.toolbox.database.databaseConnect.makeDatabaseConnection()Ljava/util/Vector;+231
v  ~StubRoutines::call_stub
V  [jvm.dll+0xecf9c]
V  [jvm.dll+0x1741d1]
V  [jvm.dll+0xed01d]
V  [jvm.dll+0xf5e2f]
V  [jvm.dll+0xf79b7]
C  [jmi.dll+0x139de]
C  [jmi.dll+0x1e2dc]
C  [jmi.dll+0x1e6d9]
C  [jmi.dll+0x2b10e]
C  [jmi.dll+0x2b208]
C  [mcos.dll+0x4e126]
C  [m_dispatcher.dll+0x11c35]
C  [m_dispatcher.dll+0x118cf]
C  [m_interpreter.dll+0x713e6]
